id,company_rating,company_location,total_fleet_count,iata_approved
31311,100%,,1.0,f
17612,100%,Peru,2.0,t
15815,,Lebanon,1.0,f
18832,100%,Zimbabwe,8.0,f
15291,100%,,3.0,f
48023,,Russian Federation,3.0,f
13958,,Uzbekistan,1.0,f
47738,100%,,1.0,f
2901,100%,Turkmenistan,1.0,t
48945,100%,,1.0,f
41064,,Faroe Islands,1.0,f
41070,100%,,1.0,t
44663,,,1.0,t
3268,,French Guiana,1.0,t
7283,,United Kingdom,1.0,f
40072,100%,,1.0,f
12833,100%,Uzbekistan,3.0,t
39981,,,1.0,f
11170,100%,Zimbabwe,1.0,f
35105,100%,Gambia,4.0,f
33068,,Canada,1.0,f
45978,100%,France,1.0,f
28830,100%,Lithuania,2.0,f
12247,100%,Maldives,33.0,f
36028,75%,,1.0,f
8409,98%,Maldives,9.0,f
26722,,Marshall Islands,2.0,t
27863,,Chad,1.0,t
34057,100%,Lebanon,1.0,f
43577,100%,United Kingdom,1.0,t
24319,,Moldova,1.0,f
22586,100%,Russian Federation,1.0,t
19943,63%,Isle of Man,34.0,f
6170,70%,Russian Federation,1.0,t
45621,100%,Cape Verde,4.0,t
44862,100%,Djibouti,12.0,f
9678,,,2.0,t
34069,100%,Andorra,3.0,t
605,100%,Svalbard & Jan Mayen Islands,1.0,f
36236,,Brazil,1.0,t
28169,,Guernsey,1.0,f
37631,,Russian Federation,1.0,t
19142,90%,Niger,9.0,f
21527,100%,Malta,1.0,t
29647,100%,Peru,1305.0,f
20146,100%,Niue,1.0,t
48418,98%,Bosnia and Herzegovina,30.0,f
32258,79%,Ukraine,22.0,f
38323,100%,,1.0,f
1034,,Maldives,1.0,t
43659,98%,Maldives,14.0,f
36686,,Lebanon,1.0,f
37702,100%,Gibraltar,1.0,f
12812,99%,Croatia,32.0,f
9414,,Sao Tome and Principe,1.0,f
47995,,Maldives,2.0,t
13145,,Cuba,2.0,t
38600,,Croatia,2.0,t
23052,,,1.0,t
39799,50%,Russian Federation,6.0,f
49525,,Estonia,4.0,f
44122,100%,,1.0,f
9131,100%,Gambia,5.0,f
36576,100%,Tonga,4.0,t
16967,,,1.0,f
36832,83%,Micronesia,1.0,f
42740,100%,Canada,3.0,f
3373,67%,,6.0,f
19201,,Guinea,3.0,t
4928,50%,Malta,1.0,f
35487,,Svalbard & Jan Mayen Islands,1.0,f
2011,,,1.0,f
4411,,,1.0,f
21908,100%,Niue,49.0,f
41250,,,1.0,f
9165,,Kenya,1.0,f
28918,,Kenya,1.0,t
4310,100%,Jersey,1.0,f
48355,,French Guiana,1.0,f
11124,100%,Sao Tome and Principe,3.0,f
19400,100%,Gibraltar,7.0,f
42630,,Sao Tome and Principe,1.0,f
44429,,,1.0,t
39141,,,1.0,f
20365,,Mauritania,1.0,t
48409,,Estonia,60.0,t
29722,100%,Bouvet Island (Bouvetoya),2.0,f
4216,,Cuba,9.0,t
29566,,French Polynesia,1.0,f
2591,,Lebanon,1.0,t
48068,100%,,4.0,f
9725,,Venezuela,1.0,t
40746,100%,Slovakia (Slovak Republic),2.0,f
32593,82%,,6.0,t
40047,,Malta,1.0,f
44966,100%,Guinea,21.0,f
37823,100%,Gambia,3.0,f
20165,94%,Ukraine,30.0,f
