shuttle_id,review_scores_rating,review_scores_comfort,review_scores_amenities,review_scores_trip,review_scores_crew,review_scores_location,review_scores_price,number_of_reviews,reviews_per_month
69029,99.0,10.0,9.0,10.0,10.0,10.0,9.0,14,1.18
6239,97.0,10.0,10.0,10.0,10.0,10.0,10.0,35,1.96
2164,,,,,,,,0,
14615,96.0,10.0,10.0,10.0,10.0,9.0,10.0,108,2.99
19388,,,,,,,,0,
65412,100.0,10.0,10.0,10.0,10.0,10.0,10.0,15,5.23
69626,96.0,10.0,10.0,10.0,10.0,9.0,9.0,18,0.91
11730,100.0,10.0,10.0,10.0,10.0,8.0,10.0,1,0.06
46981,87.0,10.0,9.0,9.0,10.0,10.0,9.0,15,6.0
58434,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.03
69722,94.0,10.0,10.0,10.0,10.0,9.0,10.0,10,0.28
67548,80.0,10.0,6.0,4.0,6.0,10.0,8.0,1,0.24
60262,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.12
44717,,,,,,,,1,0.18
72158,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.0
36437,,,,,,,,0,
74729,86.0,9.0,7.0,9.0,9.0,9.0,8.0,8,0.96
33190,97.0,10.0,9.0,10.0,10.0,10.0,10.0,47,1.33
24639,95.0,10.0,9.0,10.0,10.0,10.0,10.0,10,0.24
16979,,,,,,,,0,
53089,,,,,,,,0,
47080,80.0,8.0,7.0,8.0,8.0,9.0,8.0,7,0.92
70016,,,,,,,,0,
3876,100.0,10.0,10.0,10.0,10.0,8.0,8.0,1,0.52
46560,90.0,10.0,10.0,9.0,9.0,9.0,10.0,2,0.15
4650,100.0,10.0,10.0,10.0,10.0,10.0,10.0,20,0.96
3155,87.0,9.0,9.0,8.0,8.0,9.0,8.0,6,2.0
59974,100.0,9.0,9.0,10.0,10.0,9.0,9.0,3,0.25
48600,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.03
69009,,,,,,,,0,
5713,98.0,10.0,10.0,10.0,10.0,10.0,10.0,13,0.46
3340,100.0,10.0,10.0,9.0,10.0,10.0,10.0,6,0.61
478,93.0,10.0,10.0,10.0,10.0,9.0,9.0,79,1.53
75192,,,,,,,,0,
17932,94.0,10.0,9.0,10.0,10.0,9.0,10.0,7,2.53
6508,87.0,9.0,8.0,9.0,10.0,9.0,9.0,46,1.07
69906,98.0,10.0,10.0,10.0,10.0,9.0,9.0,20,1.76
25915,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.0
25984,,,,,,,,0,
26155,96.0,10.0,10.0,10.0,10.0,10.0,10.0,37,2.29
22045,,,,,,,,0,
50133,,,,,,,,0,
64871,98.0,10.0,10.0,10.0,10.0,10.0,10.0,8,0.31
